	PC1	PC2	PC3	PC4	PC5	PC6	group1	group2	group3
SQR9c	-0.383241739	-0.061141173	0.032890592	0.223532242	0.022491087	0.061647293	d	A	SQR9
SQR9d	-0.496789486	0.193932283	-0.013296797	0.298903828	-0.044920088	-0.058085841	d	A	SQR9
1a	-0.11891438	-0.119188814	0.335907358	-0.157261536	-0.185386956	0.142433216	e	A	1
1b	-0.168579653	0.105871761	0.311299784	-0.026180689	0.0872036	-0.169598467	e	A	1
1c	-0.203978736	-0.003094412	0.20645804	0.152082943	0.342565665	0.094226682	e	A	1
1d	-0.142246714	-0.08699819	0.425454475	0.075554653	0.104299723	-0.295330584	e	A	1
1e	-0.127896346	-0.127681591	0.450189679	0.027138153	-0.122343269	0.04348344	e	A	1
7a	-0.109672349	-0.139921293	0.326244316	-0.060961836	-0.168146687	-0.085055802	e	B	7
7b	-0.166495695	-0.143146328	0.427425758	0.073609249	0.043232836	-0.197612012	e	B	7
7c	-0.093694501	-0.201057124	0.469979694	0.074012111	0.096217345	-0.188705248	e	B	7
7d	-0.093173939	-0.192611023	0.443941621	-0.028413494	0.06899934	-0.113859458	e	B	7
7e	-0.145832569	-0.117232489	0.470002666	0.015555363	0.089483718	-0.128442357	e	B	7
18a	-0.093886295	-0.074915201	0.385332113	-0.039126408	-0.154305103	0.173419988	e	C	18
18b	-0.208120063	-0.208869589	0.372931155	0.097604217	-0.016962338	-0.077073048	e	C	18
18c	-0.144093573	-0.168413482	0.354152463	0.035703484	-0.041837261	-0.04509129	e	C	18
65a	-0.130859627	-0.029978595	0.304777981	-0.137662502	-0.068814967	0.078983443	e	D	65
65b	-0.155959914	0.069090905	0.469558509	0.09105346	0.069070665	-0.077627797	e	D	65
65d	-0.170373263	-0.085669361	0.484705141	-0.032800696	-0.092010464	0.091849963	e	D	65
65e	-0.080322216	-0.110620635	0.357838719	-0.053647595	-0.204265055	0.334289935	e	D	65
92a	-0.153443346	-0.079873953	0.34909832	-0.152518337	-0.171406773	0.126294718	e	E	92
92b	-0.15269725	-0.03998374	0.304948567	0.062814047	0.098320263	-0.231470296	e	E	92
92c	-0.169005827	0.069145372	0.479742625	0.004274494	0.093872645	-0.302096827	e	E	92
92d	-0.186674194	-0.143112162	0.327362894	0.083259096	-0.074559769	-0.030565004	e	E	92
92e	-0.094756037	-0.139077185	0.437488496	0.007594068	-0.214993608	0.267655928	e	E	92
11a	-0.083559504	-0.198925365	0.17390996	0.014000288	-0.219088748	0.071336111	f	A	11
11b	-0.54715766	-0.172367264	-0.084441998	-0.019697356	0.058861752	-0.041586488	f	A	11
