Sample ID	a1	A1	a2	A2	a3	A3	a4	a5	a6	b1	B1	b2	B2	b3	B3	b4	b5	b6	c1	C1	c2	C2	c3	C3	c4	c5	c6	ck1	CK1	ck2	CK2	ck3	CK3	ck4	CK4	ck5	CK5	ck6	CK6	d1	D1	d2	D2	d3	D3	d4	d5	d6
Uniq1751	0	2	0	2	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	3	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq3130	0	3	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq1806	0	4	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	3	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq418	0	7	0	8	0	6	0	0	0	0	6	0	10	0	6	0	0	0	0	1	0	3	0	19	0	0	0	0	8	0	5	0	19	0	9	0	2	0	11	0	2	0	0	0	0	0	0	0
Uniq2643	0	1	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Uniq3018	0	7	0	6	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq1085	0	2	0	2	0	3	0	0	0	0	2	0	2	0	3	0	0	0	0	2	0	1	0	2	0	0	0	0	7	0	19	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uniq2375	0	3	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq4220	0	6	1	11	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	6	0	8	0	0	0	0	11	0	1	0	13	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Uniq3052	0	4	0	5	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
Uniq1457	0	12	0	7	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
