Richness,Abundance,IAA,Siderophore
1,6.58,11.42,0.4676
1,6.94,13.91,0.3464
1,7.01,15.09,0.5618
1,6.16,12.53,0.5289
1,6.73,7.09,0.5572
1,6.75,7.44,0.5739
1,6.48,10.33,0.3755
1,6.79,16.39,0.6629
1,6.66,13.56,0.5983
1,6.51,9.54,0.6821
1,6.17,10.32,0.513
1,6.6,12.36,0.6823
1,6.71,15.93,0.4724
1,6.77,7.27,0.3934
1,6.85,7.71,0.764
1,6.68,7.04,0.5204
1,6.91,8.73,0.3406
1,6.3,11.59,0.6372
1,6.46,8.61,0.6278
1,6.22,9.44,0.593
1,6.86,6.68,0.5786
1,6.39,6.51,0.5244
1,6.44,13.45,0.7381
1,6.53,8.09,0.7536
1,6.69,15.99,0.3596
1,6.65,9.6,0.572
1,6.49,10.67,0.6847
1,6.63,12.43,0.4886
1,7.51,12.79,0.7227
1,6.56,11.54,0.3399
1,7.46,14.2,0.6279
1,7.49,14.43,0.3979
1,7.59,8.31,0.7601
1,6.95,10.62,0.5689
1,6.97,7.93,0.3511
1,6.19,9.95,0.5279
1,6.61,10.99,0.3522
1,7.53,15.51,0.509
1,7.58,12.28,0.5267
1,6.76,16.78,0.7119
1,7.32,7.95,0.727
1,7.54,15.74,0.6892
1,6.33,9.69,0.3363
1,7.29,15.77,0.3824
1,7.6,10.5,0.7256
1,6.27,9.18,0.7078
1,6.67,12.18,0.5628
1,6.11,9.11,0.6212
1,7.52,10.89,0.7286
1,7.45,7.05,0.5633
1,7.7,13.54,0.3893
1,7.19,18.19,0.4698
1,6.92,13.87,0.4485
1,6.62,14.1,0.5175
1,6.87,11.43,0.7033
1,7.71,11.15,0.7021
1,7.05,6.8,0.3703
1,7.74,13.09,0.5675
1,6.45,12.47,0.4905
1,6.42,9.77,0.4603
2,7.01,13.31,0.5571
2,6.79,9.28,0.7377
2,6.57,10.44,0.402
2,6.49,14.25,0.519
2,6.3,17.13,0.3808
2,7.4,12.14,0.5843
2,6.82,8.49,0.5048
2,6.64,16.8,0.6884
2,7.28,11.43,0.5084
2,7.64,7.5,0.5338
2,6.52,12.17,0.5233
2,6.17,10.31,0.6921
2,6.38,9.75,0.6354
2,6.66,9.99,0.6379
2,6.71,8.16,0.6969
2,6.6,18.39,0.4998
2,6.75,6.23,0.3793
2,6.45,14.46,0.5373
2,6.14,12.65,0.4154
2,6.81,11.1,0.4834
2,7.38,6.55,0.5593
2,6.53,8.36,0.6887
2,6.29,14.08,0.4363
2,6.8,14.62,0.6325
2,7.16,10.87,0.5569
2,7.34,15.46,0.5133
2,7.47,14.94,0.4741
2,7.29,9.87,0.4278
2,6.88,9.9,0.5812
2,7.04,10.9,0.6274
4,6.27,9,0.4976
4,6.45,12.24,0.5594
4,6.92,9.23,0.5647
4,6.2,16.43,0.4783
4,6.88,14.99,0.5928
4,7.26,6.74,0.5619
4,5.98,18.94,0.6152
4,6.1,10.54,0.3274
4,7.62,7.81,0.6021
4,6.19,5.8,0.4012
4,7.23,12.86,0.3484
4,7.75,17.24,0.3442
4,6.64,10.97,0.4854
4,7.32,16.05,0.367
4,6.04,17.83,0.4342
4,7.12,9.27,0.4892
4,6.94,7.98,0.329
4,5.95,11.63,0.4396
4,7.14,9.68,0.7087
4,6.66,11.09,0.5421
4,7.57,14.76,0.3334
4,6.09,11.4,0.3541
4,6.3,12.34,0.5177
4,7.66,9.57,0.5446
4,7.64,12.29,0.4472
4,6.32,15.97,0.5071
4,6.26,6.58,0.4261
4,6.78,17.04,0.4721
4,5.9,6.37,0.5303
4,7.43,5.62,0.3776
8,7.56,12.91,0.4676
8,5.88,7.87,0.415
8,7.58,5.75,0.5841
8,6.15,9.46,0.5708
8,6.31,12.43,0.7876
8,6.06,16.24,0.42
8,7.34,17.58,0.652
8,6.41,20.1,0.445
8,6.37,6.77,0.3552
8,6.9,11.97,0.5919
8,6.38,7.87,0.6628
8,7.49,11.86,0.4976
8,6.88,15.88,0.3061
8,7.19,7.93,0.6327
8,6.39,15.82,0.5688
8,5.92,14.75,0.3084
8,7.27,8.97,0.4758
8,6.3,17.64,0.759
8,5.98,8.51,0.4794
8,6.33,7.87,0.4032
8,7.17,6.28,0.5421
8,7.18,15.94,0.3269
8,6.15,12.57,0.7236
8,6.09,10.76,0.3895
8,6.26,8.16,0.4597
8,6.27,7.67,0.4489
8,6.44,6.57,0.4968
8,6.85,10.92,0.5769
8,6.09,5.69,0.3014
8,6.36,11.6,0.6153
