OTU ID	A1a	A1b	A1c	A2a	A2b	A2c	A3a	A3b	A3c	A4a	A4b	A4c	A5a	A5b	A5c	B1a	B1b	B1c	B2a	B2b	B2c	B3a	B3b	B3c	C1a	C1b	C1c	C2a	C2b	C2c	C3a	C3b	C3c	C4a	C4b	C4c	C5a	C5b	C5c	ck1a	ck1b	ck1c	ck2a	ck2b	ck2c	ck3a	ck3b	ck4a	ck4b	ck4c	ck5a	ck5b	ck5c	D10	D11	D12	D1	D2	D3	D4	D5	D6	D7	D8	D9
OTU620	7	13	13	7	9	10	7	12	10	7	7	10	14	10	12	2	1	2	0	1	1	9	7	5	1	1	1	6	5	5	0	0	1	1	3	3	0	0	0	2	3	3	4	4	3	4	8	4	3	6	6	4	6	8	10	7	8	6	9	7	8	7	8	9	10
OTU213	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	25	25	31	19	12	15	27	22	18	1	1	1	3	3	2	4	3	2	2	4	3	4	4	5	4	3	1	4	4	5	12	8	3	2	2	26	18	19	0	0	0	0	0	0	0	0	0	0	0	0
OTU122	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	15	14	16	19	18	17	13	10	18	12	17	11	8	8	6	14	10	8	9	18	16	6	4	4	1	1	1	7	3	3	3	2	3	6	2	6	9	6	0	0	0	0	0	0	0	0	0	0	0	0
OTU214	4	3	4	6	9	6	4	2	3	3	3	3	4	8	6	24	27	29	3	2	4	3	9	6	2	3	2	2	3	2	1	2	2	4	3	4	3	3	3	8	6	6	4	6	5	8	10	5	5	4	6	4	3	3	3	2	7	4	4	5	7	4	4	6	4
OTU312	3	2	2	6	4	6	4	3	3	3	3	2	5	6	5	0	1	1	0	0	0	3	0	2	1	1	2	7	10	6	7	5	4	4	3	4	2	2	2	5	3	5	8	8	12	3	6	3	2	3	7	3	2	14	14	14	13	14	12	10	13	10	11	13	13
OTU788	5	9	6	8	12	13	9	10	10	8	8	9	20	15	18	1	1	1	0	1	1	1	0	2	0	0	1	1	2	1	0	1	1	0	0	0	0	1	0	5	7	8	8	8	12	8	11	13	12	14	7	9	6	4	5	3	3	3	4	2	3	4	2	4	4
OTU88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	17	14	14	5	1	3	5	6	5	5	5	8	14	13	18	39	49	32	21	29	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU336	5	3	3	5	7	6	6	2	6	4	2	3	1	3	2	3	3	2	2	1	2	3	2	1	5	6	8	1	2	2	2	2	3	4	1	2	3	8	6	16	6	9	22	19	19	32	13	19	22	10	6	4	2	0	0	1	0	1	1	1	0	0	1	1	1
OTU153	1	1	1	1	2	0	2	1	1	1	2	3	2	2	2	2	2	2	4	4	5	9	8	10	5	3	3	10	9	9	24	18	13	13	33	34	12	5	7	1	2	1	1	1	3	4	4	1	1	2	3	1	3	3	3	2	3	3	2	6	3	3	3	3	2
OTU2483	6	7	5	5	5	3	7	9	6	6	7	5	7	6	9	1	1	1	0	0	0	4	5	2	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	4	7	5	3	3	3	8	2	2	3	1	1	2	13	11	16	15	8	14	10	15	13	14	16	18
